,datasetKey,decimalLatitude,decimalLongitude,scientificName,taxonKey,TEMP,ZONE
Unnamed 2204,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.782178,-96.882858,Quercus nigra L.,2879328,15,8b
Unnamed 2205,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.80415,-73.959412,"Turdus migratorius Linnaeus, 1766",9510564,5,7b
Unnamed 2206,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.616017,-82.329863,"Mycteria americana Linnaeus, 1758",2481937,20,9a
Unnamed 2207,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.896317,-122.24568,"Taricha torosa (Rathke, 1833)",2431913,30,10a
Unnamed 2208,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804103,-73.959503,"Melanerpes carolinus (Linnaeus, 1758)",2478106,5,7b
Unnamed 2209,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.227543,-88.189191,Punctelia rudecta (Ach.) Krog,2605231,-15,5b
Unnamed 2210,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.614578,-82.324937,"Ardea herodias Linnaeus, 1758",9630752,20,9a
Unnamed 2211,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.828615,-98.02142,"Haemorhous mexicanus (P.L.Statius Müller, 1776)",8323485,-25,4b
Unnamed 2212,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.057433,-76.485262,Fagus grandifolia Ehrh.,2882274,10,8a
Unnamed 2213,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804112,-73.959778,"Zenaida macroura (Linnaeus, 1758)",2495347,5,7b
Unnamed 2214,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.251697,-73.657333,Maclura pomifera (Raf. ex Sarg.) C.K.Schneid.,2984580,-5,6b
Unnamed 2215,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804108,-73.959595,"Sphyrapicus varius (Linnaeus, 1766)",2478605,5,7b
Unnamed 2216,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.968687,-118.428483,"Pandion haliaetus (Linnaeus, 1758)",2480726,35,10b
Unnamed 2217,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.614605,-82.325005,"Alligator mississippiensis (Daudin, 1801)",2441370,20,9a
Unnamed 2218,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.803975,-73.959525,"Felis catus Linnaeus, 1758",2435035,5,7b
Unnamed 2219,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.614663,-82.325137,"Phalacrocorax auritus (Lesson, 1831)",2481875,20,9a
Unnamed 2220,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.614825,-82.325508,"Bubulcus ibis (Linnaeus, 1758)",2480830,20,9a
Unnamed 2221,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.80383,-73.959733,"Turdus migratorius Linnaeus, 1766",9510564,5,7b
Unnamed 2222,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804112,-73.959633,"Turdus migratorius Linnaeus, 1766",9510564,5,7b
Unnamed 2223,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.615237,-82.326453,"Agelaius phoeniceus (Linnaeus, 1766)",9409198,20,9a
Unnamed 2224,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.61533,-82.3265,"Egretta tricolor (Statius Muller, 1776)",2480881,20,9a
Unnamed 2225,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.615425,-82.326447,"Rostrhamus sociabilis (Vieillot, 1817)",2480415,20,9a
Unnamed 2226,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.615555,-82.326363,"Spatula discors (Linnaeus, 1766)",9422220,20,9a
Unnamed 2227,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.80415,-73.959542,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,5,7b
Unnamed 2228,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.80423,-73.959533,"Sturnus vulgaris Linnaeus, 1758",9809229,5,7b
Unnamed 2229,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.225997,-88.185702,Lespedeza capitata Michx.,2955772,-15,5b
Unnamed 2230,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.615572,-82.32515,"Buteo lineatus (Gmelin, 1788)",2480529,20,9a
Unnamed 2231,50c9509d-22c7-4a22-a47d-8c48425ef4a7,31.612744,-97.306031,"Dryobates pubescens (Linnaeus, 1766)",9149595,15,8b
Unnamed 2232,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804237,-73.959595,"Baeolophus bicolor (Linnaeus, 1766)",2487887,5,7b
Unnamed 2233,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804292,-73.959663,"Zonotrichia albicollis (J.F.Gmelin, 1789)",5231140,5,7b
Unnamed 2234,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.614908,-82.323503,Setophaga palmarum palmarum,7341823,20,9a
Unnamed 2235,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804378,-73.959687,"Zonotrichia albicollis (J.F.Gmelin, 1789)",5231140,5,7b
Unnamed 2236,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.613737,-82.320603,"Odocoileus virginianus (Zimmermann, 1780)",2440965,20,9a
Unnamed 2237,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.605133,-116.439137,"Poecile gambeli (Ridgway, 1886)",2487825,15,8b
Unnamed 2238,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.80445,-73.959733,"Baeolophus bicolor (Linnaeus, 1766)",2487887,5,7b
Unnamed 2239,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.964236,-76.26576,"Sturnus vulgaris Linnaeus, 1758",9809229,-5,6b
Unnamed 2240,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.804863,-73.958755,"Sciurus carolinensis Gmelin, 1788",5219681,5,7b
Unnamed 2241,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.963775,-87.63382,Pinus banksiana Lamb.,5285533,-10,6a
Unnamed 2242,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.805492,-73.958542,"Passer domesticus (Linnaeus, 1758)",5231190,5,7b
Unnamed 2243,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.891273,-82.820053,Nephrolepis cordifolia (L.) C.Presl,2650930,30,10a
Unnamed 2244,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.95053,-87.697742,"Asio otus (Linnaeus, 1758)",2497306,-10,6a
Unnamed 2245,50c9509d-22c7-4a22-a47d-8c48425ef4a7,36.940792,-121.871063,"Dendraster excentricus (Eschscholtz, 1831)",2279084,25,9b
Unnamed 2246,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.612913,-82.31855,"Melospiza georgiana (Latham, 1790)",2492235,20,9a
Unnamed 2247,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.615283,-82.322878,"Porphyrio martinica (Linnaeus, 1766)",5228136,20,9a
Unnamed 2248,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.371688,-81.516617,"Aramus guarauna (Linnaeus, 1766)",2474337,25,9b
Unnamed 2249,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.617595,-82.326942,Setophaga palmarum palmarum,7341823,20,9a
Unnamed 2250,50c9509d-22c7-4a22-a47d-8c48425ef4a7,36.93943,-121.869858,"Calidris alba (Pallas, 1764)",2481748,25,9b
Unnamed 2251,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.614605,-82.321088,"Leiothlypis celata (Say, 1822)",8169649,20,9a
Unnamed 2252,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.617908,-82.327255,Myriophyllum aquaticum (Vell.) Verdc.,5361785,20,9a
Unnamed 2253,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.614577,-77.378532,Apiosporina morbosa (Schwein.) Arx,5262861,0,7a
Unnamed 2254,50c9509d-22c7-4a22-a47d-8c48425ef4a7,36.939492,-121.869897,"Tivela stultorum (Mawe, 1823)",2287789,25,9b
Unnamed 2255,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.672608,-73.969631,Columba livia domestica,10887517,5,7b
Unnamed 2256,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.672295,-73.967148,"Zenaida macroura (Linnaeus, 1758)",2495347,5,7b
Unnamed 2257,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.671045,-73.966042,"Sciurus carolinensis Gmelin, 1788",5219681,5,7b
Unnamed 2258,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.66508,-73.9676,"Passer domesticus (Linnaeus, 1758)",5231190,5,7b
Unnamed 2259,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.671112,-73.967133,"Baeolophus bicolor (Linnaeus, 1766)",2487887,5,7b
Unnamed 2260,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.66508,-73.9676,"Sitta carolinensis Latham, 1790",2484892,5,7b
Unnamed 2261,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.671363,-73.965637,"Cyanocitta cristata (Linnaeus, 1758)",2482593,5,7b
Unnamed 2262,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.671363,-73.965637,"Turdus migratorius Linnaeus, 1766",9510564,5,7b
Unnamed 2263,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.66508,-73.9676,"Zonotrichia albicollis (J.F.Gmelin, 1789)",5231140,5,7b
Unnamed 2264,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.66508,-73.9676,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,5,7b
Unnamed 2265,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.669865,-73.96357,"Larus delawarensis Ord, 1815",2481134,5,7b
Unnamed 2266,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.250957,-80.699366,Euthamia caroliniana (L.) Greene ex Porter & Britton,8054757,25,9b
Unnamed 2267,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.617712,-82.326888,"Geothlypis trichas (Linnaeus, 1766)",2489670,20,9a
Unnamed 2268,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.671139,-121.008561,"Cathartes aura (Linnaeus, 1758)",2481930,20,9a
Unnamed 2269,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.620195,-70.630867,"Ensis leei M.Huber, 2015",8485639,-5,6b
Unnamed 2270,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.258514,-74.945351,Rhus typhina L.,3190538,-5,6b
Unnamed 2271,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.091982,-82.33762,Zamia integrifolia L.f.,5284049,30,10a
Unnamed 2272,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.092218,-82.337098,"Tetragnatha laboriosa Hentz, 1850",2151739,30,10a
Unnamed 2273,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.391962,-77.575054,Scorias spongiosa (Schwein.) Fr.,2620019,5,7b
Unnamed 2274,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.093929,-82.331481,Serenoa repens (W.Bartram) Small,2735055,30,10a
Unnamed 2275,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.651958,-73.987282,Trametes cinnabarina (Jacq.) Fr.,9227816,5,7b
Unnamed 2276,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.902177,-97.110693,"Anolis carolinensis Voigt, 1832",2466939,10,8a
Unnamed 2277,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.024729,-120.475298,"Scantius aegyptius (Linnaeus, 1758)",4486818,25,9b
Unnamed 2278,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.620247,-70.630828,"Spisula solidissima (Dillwyn, 1817)",5188982,-5,6b
Unnamed 2279,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.167821,-82.29383,Emilia sonchifolia (L.) DC. ex Wight,7376217,25,9b
Unnamed 2280,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.006959,-85.089313,"Armadillidium vulgare (Latreille, 1804)",2203611,10,8a
Unnamed 2281,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.710013,-79.703147,Polemonium reptans L.,2927849,-10,6a
Unnamed 2282,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.70813,-79.71138,Panellus stipticus (Bull.) P.Karst.,9118025,-10,6a
Unnamed 2283,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.047105,-75.198542,Pachysandra terminalis Siebold & Zucc.,2984676,0,7a
Unnamed 2284,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.012981,-82.346822,Phyla nodiflora (L.) Greene,5341112,25,9b
Unnamed 2285,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.872256,-122.536161,Amanita muscaria subsp. flavivolvata Singer,8194095,30,10a
Unnamed 2286,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.140839,-81.5027,"Ardea herodias Linnaeus, 1758",9630752,25,9b
Unnamed 2287,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.562688,-73.917548,"Chroicocephalus philadelphia (Ord, 1815)",6065818,5,7b
Unnamed 2288,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.621987,-70.626747,"Siliqua costata (Say, 1822)",5189147,-5,6b
Unnamed 2289,50c9509d-22c7-4a22-a47d-8c48425ef4a7,46.795587,-92.141342,"Acleris maculidorsana (Clemens, 1864)",1740133,-25,4b
Unnamed 2290,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.674127,-121.0126,"Bucephala albeola (Linnaeus, 1758)",2498329,20,9a
Unnamed 2291,50c9509d-22c7-4a22-a47d-8c48425ef4a7,44.81007,-68.913372,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,-20,5a
Unnamed 2292,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.79968,-117.179055,Heteromeles arbutifolia (Lindl.) M.Roem.,5370154,30,10a
Unnamed 2293,50c9509d-22c7-4a22-a47d-8c48425ef4a7,46.561615,-89.115631,"Phasianus colchicus Linnaeus, 1758",9752149,-30,4a
Unnamed 2294,50c9509d-22c7-4a22-a47d-8c48425ef4a7,45.688658,-121.30545,Pinus ponderosa Douglas ex C.Lawson,5285053,10,8a
Unnamed 2295,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.891273,-82.820053,Abrus precatorius L.,5348711,30,10a
Unnamed 2296,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.564709,-73.914801,"Chroicocephalus philadelphia (Ord, 1815)",6065818,5,7b
Unnamed 2297,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.52382,-122.25767,"Coprinellus flocculosus (DC.) Vilgalys, Hopple & Jacq.Johnson",2534575,30,10a
Unnamed 2298,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.61675,-82.324547,"Regulus calendula (Linnaeus, 1766)",2484597,20,9a
Unnamed 2299,50c9509d-22c7-4a22-a47d-8c48425ef4a7,45.071406,-123.045562,"Taricha granulosa (Skilton, 1849)",2431920,15,8b
Unnamed 2300,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.891273,-82.820053,Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.,4925538,30,10a
Unnamed 2301,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.870553,-77.34037,Phoradendron leucarpum (Raf.) Reveal & M.C.Johnst.,2889887,0,7a
Unnamed 2302,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.671871,-121.009551,"Cygnus olor (Gmelin, 1789)",2498343,20,9a
Unnamed 2303,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.448411,-76.643644,Apiosporina morbosa (Schwein.) Arx,5262861,0,7a
Unnamed 2304,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685403,-97.34837,"Aythya collaris (Donovan, 1809)",2498264,25,9b
Unnamed 2305,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685244,-97.348531,"Trachemys scripta elegans (Wied, 1838)",6157026,25,9b
Unnamed 2306,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685053,-97.34839,"Sciurus niger Linnaeus, 1758",5219683,25,9b
Unnamed 2307,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.68539,-97.348898,"Trachemys scripta elegans (Wied, 1838)",6157026,25,9b
Unnamed 2308,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.68541,-97.348927,"Trachemys scripta elegans (Wied, 1838)",6157026,25,9b
Unnamed 2309,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685549,-97.348884,"Trachemys scripta elegans (Wied, 1838)",6157026,25,9b
Unnamed 2310,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.686353,-97.348325,"Sciurus niger Linnaeus, 1758",5219683,25,9b
Unnamed 2311,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.686295,-97.348377,"Oreochromis niloticus (Linnaeus, 1758)",4285694,25,9b
Unnamed 2312,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.68626,-97.348405,"Fulica americana Gmelin, 1789",2474393,25,9b
Unnamed 2313,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.686253,-97.348423,"Eudocimus albus (Linnaeus, 1758)",5229205,25,9b
Unnamed 2314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.686158,-97.348472,"Ardea alba Linnaeus, 1758",9752617,25,9b
Unnamed 2315,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.68612,-97.347709,"Quiscalus mexicanus (Gmelin, 1788)",9476062,25,9b
Unnamed 2316,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.686151,-97.348228,"Nannopterum brasilianum (J.F.Gmelin, 1789)",9585234,25,9b
Unnamed 2317,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.686047,-97.347852,"Spatula clypeata (Linnaeus, 1758)",8332393,25,9b
Unnamed 2318,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685834,-97.347533,"Leucophaeus atricilla (Linnaeus, 1758)",6065844,25,9b
Unnamed 2319,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685747,-97.347775,"Mareca americana (Gmelin, 1789)",2498155,25,9b
Unnamed 2320,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.68537,-97.347952,"Aythya americana (Eyton, 1838)",2498263,25,9b
Unnamed 2321,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.68526,-97.347876,Borrichia frutescens (L.) DC.,3087136,25,9b
Unnamed 2322,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685133,-97.348253,"Eudocimus albus (Linnaeus, 1758)",5229205,25,9b
Unnamed 2323,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685192,-97.34811,"Spatula clypeata (Linnaeus, 1758)",8332393,25,9b
Unnamed 2324,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685129,-97.348305,"Dendrocygna autumnalis (Linnaeus, 1758)",2498393,25,9b
Unnamed 2325,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685204,-97.348435,"Nannopterum brasilianum (J.F.Gmelin, 1789)",9585234,25,9b
Unnamed 2326,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.685178,-97.348199,"Fulica americana Gmelin, 1789",2474393,25,9b
Unnamed 2327,50c9509d-22c7-4a22-a47d-8c48425ef4a7,44.81007,-68.913372,"Sitta carolinensis Latham, 1790",2484892,-20,5a
Unnamed 2328,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.618053,-82.32678,"Sayornis phoebe (Latham, 1790)",2483606,20,9a
Unnamed 2329,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.308122,-72.803356,"Dolomedes tenebrosus Hentz, 1844",2150903,0,7a
Unnamed 2330,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.058293,-82.261924,"Odocoileus virginianus (Zimmermann, 1780)",2440965,25,9b
Unnamed 2331,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.671672,-121.009103,"Branta canadensis (Linnaeus, 1758)",5232437,20,9a
Unnamed 2332,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.618713,-82.32705,Setophaga palmarum palmarum,7341823,20,9a
Unnamed 2333,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.678422,-80.772438,"Egretta thula (Molina, 1782)",2480873,25,9b
Unnamed 2334,50c9509d-22c7-4a22-a47d-8c48425ef4a7,44.81007,-68.913372,"Poecile atricapillus (Linnaeus, 1766)",2487805,-20,5a
Unnamed 2335,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.973175,-90.717362,"Megascops asio (Linnaeus, 1758)",2497415,5,7b
Unnamed 2336,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.889902,-124.101639,"Rana aurora Baird & Girard, 1852",2426808,25,9b
39,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.003121,-73.191105,Panellus stipticus (Bull.) P.Karst.,9118025,-15,5b
Unnamed 2337,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.618937,-82.327133,"Lithobates grylio (Stejneger, 1901)",2427183,20,9a
Unnamed 2338,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.619025,-82.327172,"Nerodia floridana (Goff, 1936)",5223328,20,9a
Unnamed 2339,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.289858,-116.377017,Abronia villosa var. villosa,7167025,25,9b
Unnamed 2340,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.605133,-116.439137,"Zonotrichia leucophrys (J.R.Forster, 1772)",5231132,15,8b
Unnamed 2341,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.671529,-121.0089,"Mergus merganser Linnaeus, 1758",9537647,20,9a
Unnamed 2342,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.094289,-82.329573,Crinum americanum L.,2853938,30,10a
Unnamed 2343,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.294027,-121.09313,"Pentagramma triangularis (Kaulf.) Yatsk., Windham & Wollenw.",5275443,20,9a
Unnamed 2344,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.692611,-85.980293,Amanita persicina (D.T.Jenkins) Tulloss & Geml,9661781,15,8b
Unnamed 2345,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.87128,-77.339722,"Antheraea polyphemus Cramer, 1775",1866570,0,7a
Unnamed 2346,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.57019,-117.130669,"Cantareus apertus (Born, 1778)",4564228,35,10b
Unnamed 2347,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.802315,-77.860847,Asclepias syriaca L.,3170247,-5,6b
Unnamed 2348,50c9509d-22c7-4a22-a47d-8c48425ef4a7,44.81007,-68.913372,"Spinus tristis (Linnaeus, 1758)",5231640,-20,5a
Unnamed 2349,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.713468,-88.142907,"Sciurus carolinensis Gmelin, 1788",5219681,-15,5b
Unnamed 2350,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.68919,-74.045601,"Branta bernicla (Linnaeus, 1758)",5232446,5,7b
Unnamed 2351,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.561905,-73.927161,"Phalacrocorax carbo (Linnaeus, 1758)",2481890,5,7b
Unnamed 2352,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.891273,-82.820053,Acrostichum danaeifolium Langsd. & Fisch.,2651707,30,10a
Unnamed 2353,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.251958,-80.698165,Cyperus ligularis L.,2715068,25,9b
Unnamed 2354,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.871895,-77.3405,"Diastrophus Hartig, 1840",1309579,0,7a
Unnamed 2355,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.970505,-90.71975,"Junco hyemalis (Linnaeus, 1758)",9362842,5,7b
Unnamed 2356,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.874958,-77.339942,"Castor canadensis Kuhl, 1820",2439838,0,7a
Unnamed 2357,50c9509d-22c7-4a22-a47d-8c48425ef4a7,45.687245,-121.30387,Quercus garryana Douglas ex Hook.,2879260,10,8a
Unnamed 2358,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.091859,-96.706119,"Accipiter cooperii (Bonaparte, 1828)",2480621,10,8a
Unnamed 2359,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.091859,-96.706119,"Setophaga coronata (Linnaeus, 1766)",7341805,10,8a
Unnamed 2360,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.091859,-96.706119,"Abaeis nicippe (Cramer, 1779)",1920621,10,8a
Unnamed 2361,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.091859,-96.706119,"Certhia americana Bonaparte, 1838",9581157,10,8a
Unnamed 2362,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.091859,-96.706119,"Thryothorus ludovicianus (Latham, 1790)",2493801,10,8a
Unnamed 2363,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.663979,-77.92316,Phyllotopsis nidulans (Pers.) Singer,2531625,0,7a
Unnamed 2364,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.605133,-116.439133,"Junco hyemalis (Linnaeus, 1758)",9362842,15,8b
Unnamed 2365,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.129048,-105.365821,Toxicodendron rydbergii (Small ex Rydb.) Greene,3190615,-15,5b
Unnamed 2366,50c9509d-22c7-4a22-a47d-8c48425ef4a7,42.04365,-70.640655,"Calidris alpina (Linnaeus, 1758)",2481759,-5,6b
Unnamed 2367,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.050717,-88.41895,"Colaptes Vigors, 1825",11016979,-20,5a
Unnamed 2368,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.78469,-118.295195,"Fulica americana Gmelin, 1789",2474393,35,10b
Unnamed 2369,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.785365,-118.29522,"Nycticorax nycticorax (Linnaeus, 1758)",2480863,35,10b
Unnamed 2370,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.783531,-118.291096,"Sayornis nigricans (Swainson, 1827)",2483612,35,10b
Unnamed 2371,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.782576,-118.290565,"Branta canadensis (Linnaeus, 1758)",5232437,35,10b
Unnamed 2372,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.786038,-118.295874,"Branta canadensis (Linnaeus, 1758)",5232437,35,10b
Unnamed 2373,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.7895,-118.292369,Cairina moschata var. domestica,10708159,35,10b
Unnamed 2374,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.785277,-118.295636,"Sciurus niger Linnaeus, 1758",5219683,35,10b
Unnamed 2375,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.782488,-118.292369,"Quiscalus mexicanus (Gmelin, 1788)",9476062,35,10b
Unnamed 2376,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.782479,-118.292355,"Quiscalus mexicanus (Gmelin, 1788)",9476062,35,10b
Unnamed 2377,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.786522,-118.294794,"Quiscalus mexicanus (Gmelin, 1788)",9476062,35,10b
Unnamed 2378,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.786073,-118.295938,"Anser albifrons (Scopoli, 1769)",2498017,35,10b
Unnamed 2379,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.78205,-118.294204,"Zenaida macroura (Linnaeus, 1758)",2495347,35,10b
Unnamed 2380,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.788899,-118.292752,"Trachemys scripta elegans (Wied, 1838)",6157026,35,10b
